colonne_texte,Camera_RGB,Camera_Infrarouge,Camera_Thermique,Camera_Profondeur,Capteurs_Ultrasons,LED,Laser_Telemetre
Je veux un robot qui inspecte des tables,1,0,0,0,0,0,0
Le robot devra pouvoir voir un intru dans l'obscurité,0,1,0,0,0,0,0
Le robot devra détecter de la chaleur,0,0,1,0,0,0,0
Le robot devra inspecter des bâtiments la nuit,1,0,0,0,0,1,0
Le robot devra pouvoir mesurer une distance,0,0,0,0,0,0,1
Le robot devra connaitre la position d'une objet qu'il voit,0,0,0,1,0,0,0
Le robot devra vérifier l'état d'une porte,1,0,0,0,0,1,0
Un robot qui inspecte l'intérieur d'un tuyaux,1,0,0,0,0,1,0
Détection d'obstacles pour un robot aspirateur,0,0,0,0,1,0,0
Mesure de distance pour un bras robotique,0,0,0,0,1,0,0
Navigation de drones dans des zones encombrées,0,0,0,0,1,0,0
Suivi de mouvement dans des systèmes de sécurité,0,0,0,0,1,0,0
Détermination de niveaux de liquides dans des réservoirs,0,0,0,0,1,0,0
Aide au stationnement pour des véhicules autonomes,0,0,0,0,1,0,0
Cartographie de l'environnement pour un robot mobile,0,0,0,1,1,0,0
Évitement de collisions pour un robot de livraison,0,0,0,1,1,0,0
Mesure de la hauteur d'objets sur une chaîne de production,0,0,0,1,1,0,0
Suivi de personnes pour un robot guide dans un musée,0,0,0,1,1,0,0
Surveillance de la chaleur pour un robot pompier,0,0,1,0,0,0,0
Contrôle de température pour un robot cuisinier,0,0,1,0,0,0,0
Mesure de la température corporelle pour un robot infirmier,0,0,1,0,0,0,0
Surveillance de zones chaudes pour un drone volcanologue,0,0,1,0,0,0,0
Ajustement du chauffage pour un robot domestique.,0,0,1,0,0,0,0
"Détection de surchauffe pour un robot industriel.
",0,0,1,0,0,0,0
"Mesure de température pour un robot météorologue.
",0,0,1,0,0,0,0
"Contrôle de la température pour un robot de soudage.
",0,0,1,0,0,0,0
"Surveillance de frigo pour un robot d'inventaire.
",0,0,1,0,0,0,0
"Suivi des changements thermiques pour un robot de recherche.



",0,0,1,0,0,0,0
"Identification de fruits mûrs pour un robot agricole.
",1,0,0,0,0,0,0
"Reconnaissance faciale pour un robot de sécurité.
",1,0,0,0,0,0,0
"Suivi de cibles pour un drone de livraison.
",1,0,0,0,0,0,0
"Cartographie 3D d'une pièce pour un robot d'intérieur.
",0,0,0,1,0,0,0
"Navigation pour un robot aspirateur en visualisant l'espace.
",0,0,0,1,0,0,0
